method,file,source_id,dice,iou,hausdorff_95,asd,precision,recall
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__6,0.9944784740510104,0.9890175877760977,1.0,0.08860677922412682,0.9982911849974806,0.9906947755948025
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__1,0.9949160407538058,0.9898835133136397,1.0,0.09048475575861625,0.9993235355989392,0.9905472535110493
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__2,0.9931522559604983,0.9863976572822651,1.0,0.10591602179743372,0.9983650198084139,0.9879936441820618
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__4,0.9954488301570474,0.9909388989240556,1.0,0.08082533234859675,0.9993713151394245,0.9915570159282125
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__3,0.9943085920634298,0.9886816017484974,1.0,0.0948964638826745,0.9990928810885427,0.989569905074417
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__5,0.995093741942613,0.9902353915739933,1.0,0.08561317544576018,0.9986766032323412,0.9915364965646838
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__6,0.99254327563249,0.985196933650542,1.0,0.15439655251101497,0.9955430567727529,0.9895615181293668
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__1,0.9954140030825985,0.990869876881673,1.0,0.08078130283422087,0.9979481463655593,0.9928926973725664
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__2,0.9948808342412739,0.9898138132609146,1.0,0.09605394552451273,0.9981665173577426,0.9916167112422761
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__3,0.9954845924101519,0.9910097793309472,1.0,0.07996561394389198,0.9988543077083314,0.9921375366789557
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__4,0.9942910282726788,0.9886468712364852,1.0,0.17295019897730007,0.998232925873973,0.9903801403442184
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__5,0.9939128538329155,0.9878993659937415,1.0,0.18624243618836406,0.9972052394178232,0.9906421370707392
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__1,0.9947359102470538,0.9895269515610771,1.0,0.09004187994416007,0.9990328442619041,0.9904757809644615
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__6,0.9942535139523407,0.9885726947548352,1.0,0.09589343626770595,0.9982994067103109,0.9902402830888648
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__3,0.9952138140880891,0.9904732250920285,1.0,0.08648801175501859,0.9993109109149685,0.9911501756396146
