method,file,source_id,dice,iou,hausdorff_95,asd,precision,recall
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A20__3,0.988095914944424,0.9764719102701868,3.0,1.21652616076582,0.9951720559025106,0.9811196928906876
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A20__4,0.9902890820421253,0.9807649540375083,2.8284271247461903,0.9185301755631803,0.9981353722075103,0.9825651882814903
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A20__5,0.9907916311405522,0.9817513030141545,2.0,0.5311771155229194,0.9930640060185963,0.9885296320262911
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A20__6,0.990596819066518,0.9813688303918636,2.23606797749979,0.7207433443673686,0.9983008246356084,0.9830108083619183
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A21__1,0.9870626524026643,0.9744557792680412,3.0,0.8378171908556564,0.9979750629803247,0.9763863052269918
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A21__2,0.9928704369736736,0.9858418156152566,1.4142135623730951,0.5305303665801346,0.997277463129356,0.988502189255203
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A21__3,0.990741221616319,0.9816523203325338,1.4142135623730951,0.5142631822618002,0.9971888984721895,0.9843763885663831
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A21__5,0.9892193130017572,0.9786685932232072,2.8284271247461903,0.938834626945261,0.9983785808000595,0.9802265743054985
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A21__4,0.9881960154945827,0.9766674480706118,2.0,0.8278174239932101,0.9939746773074704,0.9824841560239149
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A21__6,0.9925490344239467,0.9852082814337413,1.4142135623730951,0.4569293655071082,0.9979785097954089,0.9871783172111699
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A22__1,0.9907332849698403,0.9816367370643293,3.0,0.9604391324371231,0.9962415498811316,0.98528559602649
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A22__2,0.9881420230210866,0.9765619736194252,1.4142135623730951,0.4478798353262579,0.9960050957164794,0.9804021296716647
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A22__3,0.9892504459143101,0.9787295397910637,2.23606797749979,0.8902097050153196,0.9957942379423327,0.9827920965469982
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A22__4,0.9922475566171371,0.9846143893100588,2.0,0.6337898942788339,0.9973406315046998,0.987206234601899
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A22__5,0.9969896635192764,0.9939973968936633,1.0,0.32559277252312063,0.9969365281298148,0.9970428045731311
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A23__1,0.9921219591084949,0.9843670750390856,2.0,0.5484056954608286,0.9937041435735022,0.9905448049701598
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A22__6,0.9885966344967156,0.9774504102077811,2.0,0.5748396344104818,0.997395733314171,0.9799514306060219
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A23__2,0.9861873851281623,0.9727511481525924,2.0,0.7301984812440228,0.9945585496157664,0.9779559640221592
