Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_007934	formoterol	adrenergic receptor agonist	ADRB2
JCP2022_008014	LFM-A13	Bruton's tyrosine kinase (BTK) inhibitor	BTK
JCP2022_008032	yoda-1	piezo channel activator	PIEZO1
JCP2022_008065	febuxostat	xanthine oxidase inhibitor	XDH
JCP2022_008105	carazolol	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
JCP2022_008375	cobimetinib	MEK inhibitor	MAP2K1
JCP2022_008377	amitifadine	serotonin transporter (SERT) inhibitor	SLC6A2|SLC6A3|SLC6A4
JCP2022_008461	aspirin	cyclooxygenase inhibitor	AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53
JCP2022_008498	gamma-aminobutyric-acid	benzodiazepine receptor agonist	GABBR1|GABBR2|GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2|GATM|KCTD12|KCTD16|KCTD8|SLC6A1
JCP2022_008513	clorgiline	monoamine oxidase inhibitor	MAOA
JCP2022_008517	sivelestat	elastase inhibitor	CELA1|ELANE
JCP2022_008530	roscovitine	CDK inhibitor	CDK2|CDK9
JCP2022_008646	JW-67	WNT pathway inhibitor	APC|AXIN1|GSK3B
JCP2022_008737	tocainide	sodium channel blocker	SCN5A
JCP2022_008801	GDC-0810	selective estrogen receptor destabilizer	ESR1
JCP2022_008847	AM-251	cannabinoid receptor antagonist	CNR1|GPR18|GPR55
JCP2022_008921	tenovin-6	SIRT inhibitor	SIRT1|SIRT2|SIRT3
JCP2022_008959	clebopride	dopamine receptor antagonist	ACHE|DRD2
JCP2022_008964	UF-010	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC8
JCP2022_008972	compound-401	DNA dependent protein kinase inhibitor	MTOR|PRKDC
JCP2022_009066	dacinostat	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
JCP2022_009159	protriptyline	tricyclic antidepressant	SLC6A2|SLC6A4
JCP2022_009216	IKK-16	IKK inhibitor	IKBKB
JCP2022_009217	Y-320	interleukin inhibitor	IL17A
JCP2022_009319	resiquimod	toll-like receptor agonist	TLR7|TLR8
JCP2022_009404	didanosine	nucleoside reverse transcriptase inhibitor	PNP
JCP2022_009419	miconazole	bacterial cell wall synthesis inhibitor	TRPM2|TRPV5
JCP2022_009448	bendazac	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_009543	GW-4064	FXR agonist	NR1H4
JCP2022_009566	PHT-427	AKT inhibitor|pyruvate dehydrogenase inhibitor	AKT2|PDPK1
JCP2022_009604	TAK-875	insulin secretagogue	FFAR1
JCP2022_009633	dyclonine	sodium channel blocker	SCN10A|SCN5A
JCP2022_009677	acetazolamide	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
JCP2022_009876	oxotremorine-M	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4
JCP2022_009883	IOX2	hypoxia inducible factor inhibitor	EGLN1|KDM2A|KDM5C
JCP2022_009884	ABC-294640	sphingosine kinase inhibitor	SPHK2
JCP2022_009996	triprolidine	histamine receptor antagonist	HRH1
JCP2022_010020	WHI-P154	JAK inhibitor	EGFR|JAK1|JAK2|JAK3
JCP2022_010065	reboxetine	adrenergic receptor antagonist	SLC6A2
JCP2022_010066	afalanine	dopamine receptor agonist	DRD2
JCP2022_010094	indinavir	HIV protease inhibitor	CYP3A4|CYP3A5|CYP3A7
JCP2022_010134	AGI-6780	isocitrate dehydrogenase inhibitor	IDH2
JCP2022_010319	inositol	insulin sensitizer	CDIPT
JCP2022_010382	BAY-87-2243	hypoxia inducible factor inhibitor	HIF1A
