family,display_family,margin,unit_id,d2_value,mq_value,unit_delta_mq_minus_d2,symmetric_product_contribution,absolute_contribution,leave_one_unit_influence,absolute_rank
subcell,SubCell,PA,BRD-K16761703-001-03-8,0.7312986523579353,0.823308907187849,0.09201025482991365,1.8206255729097408e-05,1.8206255729097408e-05,1.725717676932803e-05,253
subcell,SubCell,PA,BRD-K16803204-001-02-9,0.3461189829014159,0.4832690471186331,0.1371500642172172,2.7138161360563762e-05,2.7138161360563762e-05,3.0352385675599947e-05,188
subcell,SubCell,PA,BRD-K16810791-001-01-0,0.2803549630813363,0.0324996558583919,-0.24785530722294438,-4.904363231529552e-05,4.904363231529552e-05,-4.3134753746346816e-05,103
subcell,SubCell,PA,BRD-K17849083-001-32-9,-0.0012363154167657,-0.0413471224474294,-0.0401108070306637,-7.936806735843564e-06,7.936806735843564e-06,1.3297610362839052e-07,351
subcell,SubCell,PA,BRD-K18131774-001-18-4,0.0234962408681997,-0.0157969487505881,-0.039293189618787805,-7.775023120346655e-06,7.775023120346655e-06,8.660082612826914e-09,353
subcell,SubCell,PA,BRD-K18289362-001-03-9,0.5013419810340911,0.2034362391923183,-0.2979057418417728,-5.8947213320557646e-05,5.8947213320557646e-05,-5.53049143394678e-05,84
subcell,SubCell,PA,BRD-K18895904-001-16-1,0.2140340566537033,0.222856748235377,0.008822691581673703,1.745763876557422e-06,1.745763876557422e-06,7.114113126927002e-06,445
subcell,SubCell,PA,BRD-K19227686-001-18-6,0.1023554998070136,0.1311121565439888,0.02875665673697521,5.690137989890988e-06,5.690137989890988e-06,1.2231006459841043e-05,384
subcell,SubCell,PA,BRD-K19333160-001-01-3,0.679469580431532,0.8286067398194759,0.1491371593879438,2.951007219301072e-05,2.951007219301072e-05,2.8863300122975583e-05,172
subcell,SubCell,PA,BRD-K19477839-001-10-9,0.0474407393048423,0.1057014267939555,0.0582606874891132,1.1528160391910701e-05,1.1528160391910701e-05,1.8546054788546457e-05,321
subcell,SubCell,PA,BRD-K19975102-001-02-0,0.9537232554007146,0.7357648736946297,-0.21795838170608484,-4.312786702935089e-05,4.312786702935089e-05,-4.5046910381950356e-05,118
subcell,SubCell,PA,BRD-K20093108-001-02-3,0.413794676898347,0.1893465544951928,-0.22444812240315418,-4.441200518291637e-05,4.441200518291637e-05,-4.0142681523431395e-05,112
subcell,SubCell,PA,BRD-K20897876-001-10-0,0.4855782047086772,0.189120947780037,-0.2964572569286402,-5.8660598673125353e-05,5.8660598673125353e-05,-5.484589821090624e-05,85
subcell,SubCell,PA,BRD-K20986415-001-02-6,0.4825960804669419,0.480497906490554,-0.002098173976387896,-4.1516994001233833e-07,4.1516994001233833e-07,1.9465423998672737e-06,474
subcell,SubCell,PA,BRD-K21528677-001-04-4,0.7923302307037043,0.6505088711444078,-0.14182135955929653,-2.8062480043750234e-05,2.8062480043750234e-05,-2.8526138415415486e-05,181
subcell,SubCell,PA,BRD-K21728777-001-02-3,1.0,1.0,0.0,0.0,0.0,-3.54767250200852e-06,490
subcell,SubCell,PA,BRD-K22134346-001-21-5,1.0,1.0,0.0,0.0,0.0,-3.54767250200852e-06,491
subcell,SubCell,PA,BRD-K22149900-001-05-4,0.4995368617147576,0.2610820243511277,-0.23845483736362988,-4.7183542279149785e-05,4.7183542279149785e-05,-4.382098624017283e-05,107
subcell,SubCell,PA,BRD-K22482860-001-20-6,-0.0102463524597667,0.1090906227016937,0.1193369751614604,2.361344930239372e-05,2.361344930239372e-05,3.098048559553937e-05,214
subcell,SubCell,PA,BRD-K23363278-001-02-1,0.8789012425857334,0.8529614463005835,-0.025939796285149974,-5.132760099416568e-06,5.132760099416568e-06,-7.168779923707319e-06,392
subcell,SubCell,PA,BRD-K23913458-001-20-7,0.309925241628715,0.3162605070389805,0.006335265410265523,1.253571815274447e-06,1.253571815274447e-06,5.541256444762527e-06,456
subcell,SubCell,PA,BRD-K24282351-001-02-9,0.0580229218823944,0.1369978789569281,0.07897495707453371,1.5626934925366518e-05,1.5626934925366518e-05,2.2419544289633414e-05,290
subcell,SubCell,PA,BRD-K24283677-001-02-9,0.1084833674862231,0.1486628986782955,0.04017953119207239,7.950405325040902e-06,7.950405325040902e-06,1.4363707713346135e-05,350
subcell,SubCell,PA,BRD-K24616672-003-19-3,0.4773118092860232,0.314659175029872,-0.16265263425615117,-3.218440661590347e-05,3.218440661590347e-05,-2.895139158657148e-05,159
subcell,SubCell,PA,BRD-K24696047-001-02-3,1.0,1.0,0.0,0.0,0.0,-3.54767250200852e-06,492
subcell,SubCell,PA,BRD-K25243230-001-01-2,0.537637347650755,0.3748404824835889,-0.16279686516716607,-3.221294587878055e-05,3.221294587878055e-05,-2.966695781162279e-05,158
subcell,SubCell,PA,BRD-K25244359-066-04-9,0.7136973743031373,0.7134698230227579,-0.0002275512803794344,-4.502603334519442e-08,4.502603334519442e-08,-3.274882740093854e-07,481
subcell,SubCell,PA,BRD-K25311561-001-10-7,0.4694994367079552,0.5308739492992025,0.06137451259124732,1.2144299280015439e-05,1.2144299280015439e-05,1.4334683906946227e-05,316
subcell,SubCell,PA,BRD-K25412176-001-04-9,0.7240779001747525,0.6479692994099857,-0.07610860076476678,-1.5059763189098677e-05,1.5059763189098677e-05,-1.5077249794315933e-05,298
subcell,SubCell,PA,BRD-K26439554-001-02-9,0.342076397454339,0.5058068159237511,0.1637304184694121,3.2397669964034454e-05,3.2397669964034454e-05,3.5523709214654864e-05,156
subcell,SubCell,PA,BRD-K26514105-001-02-9,0.1761990940261677,0.2085338034523572,0.03233470942618949,6.398134532150766e-06,6.398134532150766e-06,1.207905673316148e-05,373
subcell,SubCell,PA,BRD-K26521938-001-07-2,0.3361291708661739,0.0772123010057185,-0.25891686986045537,-5.123240614832354e-05,5.123240614832354e-05,-4.5903515947201545e-05,99
subcell,SubCell,PA,BRD-K26970495-001-02-7,0.1033795830953141,0.093679965871794,-0.009699617223520099,-1.919282931801553e-06,1.919282931801553e-06,4.804176234347174e-06,442
subcell,SubCell,PA,BRD-K26989966-001-04-3,0.5746268758335281,0.5809206581539773,0.006293782320449193,1.2453634721606784e-06,1.2453634721606784e-06,2.5154641059635385e-06,458
subcell,SubCell,PA,BRD-K27539181-001-09-9,0.3257915016208437,0.4945318624332736,0.16874036081242988,3.338899741610625e-05,3.338899741610625e-05,3.667538820912794e-05,150
subcell,SubCell,PA,BRD-K28132190-001-02-0,0.7408248034612548,0.8231813937698946,0.08235659030863984,1.6296065551685954e-05,1.6296065551685954e-05,1.5287147977993687e-05,284
subcell,SubCell,PA,BRD-K29151923-001-02-9,0.2411118550641522,0.2435662564259519,0.0024544013617996963,4.856573752281621e-07,4.856573752281621e-07,5.577469886337838e-06,473
subcell,SubCell,PA,BRD-K29322660-001-01-9,-0.017577444997395,-0.0529387281298056,-0.035361283132410604,-6.9970088095917315e-06,6.9970088095917315e-06,1.2350822101575565e-06,363
subcell,SubCell,PA,BRD-K29530284-001-06-2,0.5149956767321646,0.1749025311222219,-0.34009314560994275,-6.729492046439527e-05,6.729492046439527e-05,-6.359516946569804e-05,70
